,Tweet,Username
34,"??? ????? ????? ?? ???? ?? ????? ??? ???? ???? ??????? ????.???? ???? ????  ??? ??? ???? ????? ?????????. ????? ??????? ???????????? ???? ??????? ?? ????? ????? ????? ????? ???? ?? ???? ?? ?????. @MohamedBinZayed https://t.co/vNMUH4BHrc",narendramodi
35,"Sheikh Khalifa bin Zayed Al Nahyan was a widely respected statesman who worked tirelessly for the people. In Abu Dhabi, expressed condolences on his demise to His Highness Sheikh Mohamed bin Zayed Al Nahyan. @MohamedBinZayed https://t.co/2zo3fqDUVU",narendramodi
36,"I am touched by the special gesture of my brother, His Highness Sheikh Mohamed bin Zayed Al Nahyan, of coming to welcome me at Abu Dhabi airport. My gratitude to him. 
@MohamedBinZayed https://t.co/8hdHHGiR0z",narendramodi
37,????? ????? ???? ?? ??? ???? ????? ????? ???? ?? ???? ?? ????? ?????? ??????? ?? ?? ????? ??????? ???????. ??????? ??. @MohamedBinZayed https://t.co/NES1a0eE3S,narendramodi
38,Tributes to our former PM Shri PV Narasimha Rao Ji on his birth anniversary. India is grateful to him for his rich contribution to national progress. He also made a mark as a great scholar and intellectual.,narendramodi
39,"Saddened by the passing away of Shri Pallonji Mistry. He made monumental contributions to the world of commerce and industry. My condolences to his family, friends and countless well-wishers. May his soul rest in peace.",narendramodi
40,"Ich danke den Menschen in Deutschland, @Bundeskanzler Scholz und der deutschen Regierung für ihre Gastfreundschaft während des gesamten Besuchs. Ich bin zuversichtlich, dass die deutsch-indische Freundschaft in nächster Zeit noch größere Höhen erreichen wird.",narendramodi
41,"Wir konnten viele Themen erörtern, die darauf abzielen, das weltweite Wohlergehen und den Wohlstand zu fördern.",narendramodi
42,"Ich reise aus Deutschland nach einem produktiven Besuch ab, bei dem ich am @G7-Gipfel teilgenommen habe, mit mehreren führenden Politikern der Welt gesprochen habe und Teil eines denkwürdigen Gemeinschaftsprogramm in München war. https://t.co/vUZTeUr0Nd",narendramodi
43,"I thank the people of Germany, @Bundeskanzler Scholz and the German Government for their hospitality during the entire visit. I am confident India-Germany friendship will scale newer heights in the times to come.",narendramodi
44,"Leaving Germany after a productive visit in which I attended the @G7 Summit, interacted with several world leaders and participated in a memorable community programme in Munich. We were able to discuss many issues aimed at furthering global well-being and prosperity. https://t.co/jZAMOj4SOo",narendramodi
45,G7????????????@kishida230??????????? https://t.co/9HobijTJYj,narendramodi
46,Discussions with @DrTedros and President @Macky_Sall of Senegal at the @G7 Summit. https://t.co/uXOXayYj3l,narendramodi
47,Felice di aver incontrato il PM Italiano Mario Draghi a margine del vertice @G7. https://t.co/aTlCmWIDyL,narendramodi
48,Had fruitful discussions with the DG of @wto @NOIweala. https://t.co/wqc4jpN57d,narendramodi
49,Wonderful interaction with Japan PM @kishida230 at the @G7 Summit. https://t.co/grijDUgnjx,narendramodi
50,Glad to interact with PM @BorisJohnson. https://t.co/r6cqAiJCZm,narendramodi
51,Happy to have met Italian PM Mario Draghi on the sidelines of the @G7 Summit. https://t.co/ZBel939Dgq,narendramodi
52,Interacting with @POTUS @JoeBiden and PM @JustinTrudeau during the @G7 Summit. https://t.co/BFP3QT0l2X,narendramodi
53,Delighted to meet President @EmmanuelMacron. https://t.co/IPX3UtIn66,narendramodi
54,"Reviewed the full range of India-Canada ties during the fruitful meeting with PM @JustinTrudeau. There is immense scope to boost cooperation in sectors like trade, culture and agriculture. ???? ???? https://t.co/RjqxPvtfOi",narendramodi
55,"President @EU_Commission @vonderleyen and I had an outstanding meeting earlier today. We discussed ways to deepen investment linkages, efforts to combat climate change, boosting digital cooperation and other important issues. https://t.co/dDpbMBlWHw",narendramodi
56,Met President @jokowi and discussed various bilateral issues between India and Indonesia. We had wide ranging conversations on improving trade and cultural ties between our countries. India greatly cherishes the strong bond with Indonesia. ???? ???? https://t.co/PNJ42lH4cw,narendramodi
57,Bertemu dengan Presiden @jokowi dan membahas berbagai isu bilateral antara India dan Indonesia. Kami memiliki percakapan yang luas tentang peningkatan perdagangan dan ikatan budaya antara negara kami. India sangat menghargai ikatan yang kuat dengan Indonesia. https://t.co/FS1z3DnUja,narendramodi
58,Excellent meeting with @Bundeskanzler Scholz. Thanked him for the warm hospitality during the @G7 Summit. We discussed cooperation in key sectors like commerce and energy. We also had deliberations on furthering environmentally friendly growth for our planet. https://t.co/5uprVt9ZML,narendramodi
59,Wir haben auch über die Förderung eines umweltfreundlichen Wachstums für unseren Planeten beraten.,narendramodi
60,Ausgezeichnetes Treffen mit @Bundeskanzler Scholz. Ich habe ihm für die herzliche Gastfreundschaft während des @G7-Gipfels gedankt. Wir haben über die Zusammenarbeit in Schlüsselbereichen wie Handel und Energie gesprochen. https://t.co/UqM6QIusGK,narendramodi
61,"Glad to have met President @CyrilRamaphosa in Germany. Our talks covered diverse sectors including economic cooperation, improving connectivity and deepening ties in food processing and FinTech. ???? ???? https://t.co/dNVQSG5oQq",narendramodi
62,At the G-7 Summit with world leaders. https://t.co/O1bgHEWQCG,narendramodi
63,"I will be attending the G-7 Summit today in which we will discuss various important global issues. 

Here’s a video taking you through highlights from yesterday including a special Bavarian welcome and a vibrant community programme. https://t.co/oIhdr9hLyu",narendramodi
64,Revisé toda la gama de la amistad India-Argentina durante la muy productiva reunión con el presidente @alferdez en Munich. Una cooperación más estrecha entre nuestras naciones beneficiará enormemente a nuestro pueblo. https://t.co/j7NF3WVcyQ,narendramodi
65,Reviewed the full range of the India-Argentina friendship during the very productive meeting with President @alferdez in Munich. Stronger cooperation between our nations will greatly benefit our people. https://t.co/bBe32Wg850,narendramodi
66,"??? ?? ???? ???? ??, ??? ?????? ?? ???? ?? ???????? ???? ??? ???? ??? ?? ?? ???? ??????? ???????? ????????? ?? ?????? ????? ?? ?? ??? ??? https://t.co/lne0iGUkWr",narendramodi
67,"??? 2015 ??? ?? ??? ?????? ??? ??, ?? ???????-?? ?????? ??? ???? ?? ??? ????? ???? ??? ?? ???? ?????? ?? ????? ???? ???? ???????-?? ????????? ??? https://t.co/mg6hpDEmnp",narendramodi
68,"???? ?? ???? ???????? ??? ????? ???? ??, ???? ?? ??? ????? ???? ??? ??????, ?? ?? ?????? ????????? ???? ??? ??? ?? ?? ?????? ????? ?? ??? ???? https://t.co/WeJimtqQNk",narendramodi
69,"?? 21??? ??? ?? ???? ???? ???????? ??????? ??? ???? ???? ????? ??? ????, ????? ???? ??????? ???? ????? ??? ?? ?? ??? https://t.co/wNl2xU1snt",narendramodi
70,"???? ?? ?????? ?? ?? ???? ????? ?? ???? ????????? ?? ??? ??? ??? ?????????? ????? ????? ????? ?? ?????? ?? ??? ??? ??? ??? ??????? ???????? ?? ????? ????-???? ???????? ?? ????? ???? ??, ?? ????????? ??? https://t.co/whY6jyQfyI",narendramodi
71,??????? ?? ?????? ???? ?? ????????? ??????????? ?????? ??? ?? ???? ????? ?? ??? ??? ????? ?? ???? ????? ?? ?????? ?? ??? ? ??? ??????????? ???????? ?? ????????? ???? ???? ??? https://t.co/B0LMEEwAEt,narendramodi
